incident_id,run_id,issue_type,severity,resolved_time_mins
I0001,R0008,Infra Failure,Critical,83
I0002,R0010,Schema Mismatch,Critical,168
I0003,R0016,Schema Mismatch,Critical,116
I0004,R0020,Config Error,Critical,74
I0005,R0025,Config Error,Medium,127
I0006,R0026,Network Failure,High,52
I0007,R0034,Query Error,Critical,143
I0008,R0038,Infra Failure,Low,104
I0009,R0040,Config Error,Low,63
I0010,R0042,Timeout,Critical,135
I0011,R0043,Timeout,Critical,15
I0012,R0047,Config Error,Critical,25
I0013,R0049,Timeout,High,171
I0014,R0051,Network Failure,Low,144
I0015,R0057,Timeout,Critical,158
I0016,R0059,Query Error,Medium,152
I0017,R0065,Infra Failure,Medium,26
I0018,R0070,Config Error,Medium,11
I0019,R0074,Timeout,Low,75
I0020,R0094,Network Failure,Medium,140
I0021,R0101,Query Error,Medium,31
I0022,R0104,Network Failure,Critical,135
I0023,R0106,Config Error,Medium,81
I0024,R0115,Query Error,Critical,97
I0025,R0116,Query Error,Medium,44
I0026,R0121,Network Failure,Critical,52
I0027,R0123,Network Failure,High,66
I0028,R0125,Query Error,Low,23
I0029,R0128,Config Error,Low,24
I0030,R0131,Query Error,Critical,18
I0031,R0133,Query Error,Critical,62
I0032,R0136,Config Error,Medium,142
I0033,R0141,Infra Failure,Critical,47
I0034,R0146,Network Failure,Critical,30
I0035,R0149,Query Error,High,70
I0036,R0158,Infra Failure,Low,52
I0037,R0169,Timeout,Medium,132
I0038,R0180,Schema Mismatch,Low,43
I0039,R0186,Network Failure,High,10
I0040,R0188,Config Error,High,138
I0041,R0199,Timeout,Medium,60
I0042,R0207,Network Failure,Critical,159
I0043,R0209,Timeout,Low,23
I0044,R0218,Schema Mismatch,Critical,128
I0045,R0221,Schema Mismatch,Critical,112
I0046,R0223,Config Error,Low,104
I0047,R0225,Schema Mismatch,High,159
I0048,R0230,Schema Mismatch,Critical,20
I0049,R0231,Query Error,Critical,12
I0050,R0236,Schema Mismatch,High,112
I0051,R0238,Config Error,High,76
I0052,R0242,Config Error,Critical,86
I0053,R0246,Query Error,Low,79
I0054,R0252,Config Error,Critical,58
I0055,R0255,Query Error,High,89
I0056,R0256,Config Error,Low,88
I0057,R0257,Query Error,Low,118
I0058,R0258,Config Error,Critical,41
I0059,R0261,Config Error,Medium,49
I0060,R0269,Timeout,High,73
I0061,R0273,Query Error,Low,70
I0062,R0281,Query Error,Critical,43
I0063,R0285,Network Failure,Critical,180
I0064,R0290,Infra Failure,High,55
I0065,R0292,Query Error,Critical,96
I0066,R0298,Timeout,Medium,52
I0067,R0303,Config Error,Low,30
I0068,R0307,Schema Mismatch,Critical,54
I0069,R0312,Infra Failure,Critical,55
I0070,R0314,Schema Mismatch,High,71
I0071,R0321,Query Error,Critical,168
I0072,R0323,Schema Mismatch,Low,154
I0073,R0324,Schema Mismatch,Medium,136
I0074,R0332,Schema Mismatch,Critical,140
I0075,R0345,Schema Mismatch,Critical,121
I0076,R0346,Timeout,High,47
I0077,R0349,Timeout,Medium,128
I0078,R0350,Infra Failure,Critical,161
I0079,R0351,Query Error,Medium,42
I0080,R0355,Query Error,Low,49
I0081,R0368,Infra Failure,Medium,112
I0082,R0374,Query Error,Medium,124
I0083,R0376,Schema Mismatch,High,109
I0084,R0386,Query Error,Medium,67
I0085,R0393,Timeout,Low,139
I0086,R0402,Timeout,Medium,134
I0087,R0408,Timeout,High,11
I0088,R0410,Query Error,Critical,141
I0089,R0411,Config Error,Medium,120
I0090,R0417,Network Failure,High,157
I0091,R0427,Config Error,Critical,68
I0092,R0429,Timeout,Critical,48
I0093,R0430,Query Error,High,57
I0094,R0432,Network Failure,Critical,157
I0095,R0434,Schema Mismatch,High,95
I0096,R0445,Config Error,High,65
I0097,R0449,Network Failure,Low,24
I0098,R0456,Config Error,High,144
I0099,R0461,Infra Failure,Critical,50
I0100,R0463,Network Failure,High,151
I0101,R0466,Infra Failure,Low,126
I0102,R0482,Schema Mismatch,High,76
I0103,R0486,Config Error,Critical,99
I0104,R0494,Schema Mismatch,Low,44
I0105,R0497,Schema Mismatch,Medium,31
I0106,R0498,Network Failure,Critical,10
I0107,R0499,Infra Failure,Low,73
I0108,R0503,Network Failure,Medium,65
I0109,R0505,Network Failure,Critical,65
I0110,R0509,Infra Failure,Critical,117
I0111,R0510,Config Error,Medium,64
I0112,R0516,Infra Failure,Medium,117
I0113,R0517,Network Failure,Low,128
I0114,R0518,Query Error,Low,77
I0115,R0519,Config Error,Medium,105
I0116,R0527,Network Failure,Low,115
I0117,R0538,Timeout,Medium,65
I0118,R0541,Infra Failure,Medium,90
I0119,R0547,Config Error,Critical,51
I0120,R0548,Infra Failure,Low,166
I0121,R0553,Infra Failure,Medium,174
I0122,R0563,Config Error,Critical,105
I0123,R0567,Network Failure,Medium,98
I0124,R0575,Network Failure,Low,109
I0125,R0577,Schema Mismatch,Medium,99
