run_id,pipeline_id,run_date,start_time,end_time,status,records_processed,compute_cost
R0001,P009,2025-03-23,2025-03-23 06:44:00,2025-03-23 07:59:00,Success,7954094,15.29
R0002,P004,2025-01-02,2025-01-02 20:02:00,2025-01-02 20:36:00,Success,2487480,6.3
R0003,P006,2025-04-18,2025-04-18 23:27:00,2025-04-19 00:12:00,Success,4190510,16.97
R0004,P005,2025-01-09,2025-01-09 21:53:00,2025-01-09 22:28:00,Success,7405542,3.39
R0005,P003,2025-03-23,2025-03-23 16:05:00,2025-03-23 16:23:00,Success,6869900,7.9
R0006,P007,2025-02-27,2025-02-27 07:48:00,2025-02-27 07:59:00,Success,2729046,0.71
R0007,P005,2025-01-08,2025-01-08 07:36:00,2025-01-08 09:02:00,Success,1336253,25.72
R0008,P003,2025-01-07,2025-01-07 18:06:00,2025-01-07 18:17:00,Failed,0,3.74
R0009,P002,2025-03-04,2025-03-04 19:20:00,2025-03-04 20:05:00,Success,5210933,10.89
R0010,P002,2025-01-04,2025-01-04 05:34:00,2025-01-04 06:03:00,Failed,0,3.2
R0011,P002,2025-03-21,2025-03-21 21:02:00,2025-03-21 21:41:00,Success,5659645,10.51
R0012,P010,2025-01-29,2025-01-29 21:12:00,2025-01-29 22:20:00,Success,7260219,16.69
R0013,P007,2025-02-11,2025-02-11 11:47:00,2025-02-11 13:14:00,Success,975119,22.53
R0014,P001,2025-03-29,2025-03-29 15:48:00,2025-03-29 17:12:00,Success,6967252,27.9
R0015,P006,2025-03-25,2025-03-25 07:18:00,2025-03-25 07:55:00,Success,4435507,16.78
R0016,P001,2025-03-25,2025-03-25 03:54:00,2025-03-25 04:02:00,Failed,0,1.73
R0017,P004,2025-03-17,2025-03-17 05:06:00,2025-03-17 06:04:00,Success,1629000,26.16
R0018,P010,2025-03-13,2025-03-13 11:21:00,2025-03-13 11:56:00,Success,8673228,8.34
R0019,P008,2025-01-29,2025-01-29 05:37:00,2025-01-29 06:26:00,Success,1000917,16.94
R0020,P003,2025-04-30,2025-04-30 19:44:00,2025-04-30 21:57:00,Delayed,9748785,13.61
R0021,P002,2025-03-04,2025-03-04 23:17:00,2025-03-05 00:27:00,Success,4654590,30.42
R0022,P002,2025-01-24,2025-01-24 00:18:00,2025-01-24 01:26:00,Success,4760673,10.33
R0023,P006,2025-04-11,2025-04-11 13:14:00,2025-04-11 13:40:00,Success,6630535,5.73
R0024,P005,2025-01-05,2025-01-05 01:37:00,2025-01-05 02:53:00,Success,9774015,10.19
R0025,P001,2025-02-18,2025-02-18 06:44:00,2025-02-18 09:26:00,Delayed,9331608,41.87
R0026,P005,2025-03-09,2025-03-09 05:00:00,2025-03-09 06:35:00,Delayed,6343741,44.0
R0027,P009,2025-01-31,2025-01-31 00:02:00,2025-01-31 00:48:00,Success,4049222,6.68
R0028,P010,2025-01-02,2025-01-02 21:27:00,2025-01-02 22:28:00,Success,2628439,24.22
R0029,P003,2025-01-31,2025-01-31 01:11:00,2025-01-31 01:58:00,Success,757444,10.2
R0030,P005,2025-03-20,2025-03-20 02:10:00,2025-03-20 03:07:00,Success,2981748,5.9
R0031,P005,2025-04-25,2025-04-25 23:16:00,2025-04-26 00:33:00,Success,1336778,33.07
R0032,P010,2025-02-15,2025-02-15 19:30:00,2025-02-15 20:42:00,Success,3143966,4.43
